run_id,dispersion,max_iter,prediction,penalty,alpha,l1_ratio,mse,mae
127b3770-efc1-4a44-b668-ba7e588d12af,0.03,500,mode,elasticnet,0.0001,0.0,11.848480604957288,2.6843579330625964
56a1a083-cbf6-40be-b567-6a254e849e2b,0.03,500,mode,elasticnet,0.001,0.0,11.848760677776221,2.6844979694720625
40effd6b-557f-49ae-829d-ae262788a1e7,0.03,500,mode,elasticnet,0.0001,1.0,11.850791205713486,2.684287914857863
ec8751cb-7755-432e-abd4-2f528b878e14,0.03,500,mode,elasticnet,0.001,0.5,11.853381879288616,2.6858983335667275
757896f5-d7a6-4eb3-9715-54e37155023c,0.1,500,mode,elasticnet,0.01,0.5,13.344559585492227,2.829925780702983
6fb70bbe-7c91-42c0-b858-5eec4bc70b1b,0.1,500,mode,elasticnet,1.0,0.0,13.351491387760818,2.831536199411847
8c79299d-dfad-4fa9-a6cc-e1d20fd89807,0.1,500,mode,elasticnet,0.0001,0.0,13.364864864864865,2.8341268729869764
d7604a44-93b6-497a-b3c8-67d2425a9403,0.1,500,mode,elasticnet,0.001,0.0,13.365354992297997,2.8341968911917097
24a829ef-2e9e-4ae9-9f57-f83921a7a028,0.1,500,mode,elasticnet,0.01,1.0,13.365705083321664,2.8323063996639126
3ffb85f9-f1fc-4d27-8a42-5267f565b20f,0.1,500,mode,elasticnet,0.01,0.0,13.366755356392662,2.8343369276011763
111b50fa-b8bc-4167-a995-7739c7061b24,0.1,500,mode,elasticnet,0.0001,0.5,13.369976193810391,2.8346170004201094
e00036b1-49a6-42e4-a873-efdd27e1a5b1,0.1,500,mode,elasticnet,0.0001,1.0,13.37018624842459,2.8344069458059096
bf18421e-34e7-4e7c-938b-baca13a6853a,0.1,500,mode,elasticnet,0.1,0.0,13.370536339448256,2.833916818372777
4edb49b7-d8da-42ae-a808-2921ae306f99,0.1,500,mode,elasticnet,0.001,1.0,13.375437613779583,2.8343369276011763
f7a11b3b-8a94-4516-bca6-a2852d360c17,0.1,500,mode,elasticnet,0.001,0.5,13.376137795826915,2.8346170004201094
ee1d576e-4303-4e39-a8e4-bb81fca0aa2b,0.1,500,mode,elasticnet,0.1,0.5,13.643607337907856,2.8626242823134014
d619110e-8392-435d-bc11-d83ec80f76c8,0.1,500,mode,elasticnet,0.1,1.0,13.839588292956169,2.8811791065677075
87cbb1ea-0a4d-424a-a07d-e0a17254910b,0.1,500,mode,elasticnet,1.0,0.5,13.869626102786725,2.884609998599636
df76e9ed-f988-4f85-b945-592e797717f7,0.1,500,mode,elasticnet,1.0,1.0,13.869626102786725,2.884609998599636
