scope,n,observed_mean,observed_sd,observed_q05,observed_q25,observed_median,observed_q75,observed_q95,predicted_mean,predicted_sd,predicted_q05,predicted_q25,predicted_median,predicted_q75,predicted_q95,mse,mae,rmse,r2_vs_mean_baseline,mean_baseline_mse,pearson,spearman,descriptive_slope_y_on_prediction,descriptive_intercept
pooled,9204,9.871794871794872,3.3945952585436707,5.0,7.0,10.0,12.0,16.0,9.988415865540702,0.42587936459039927,9.352711970486881,9.67772770581612,9.96020796935954,10.264575071119646,10.722783012441964,11.361527110471345,2.6947276087735483,3.37068644499475,0.013929658486338758,11.522024983563446,0.12294854158636033,0.1203838083450543,0.9799970860652651,0.08317642915692147
fold-0,4604,9.97002606429192,3.4283537299415636,5.0,8.0,10.0,12.0,16.0,9.853752632437816,0.3734080949819691,9.292221314419768,9.571845588070156,9.827771997004369,10.126168243376213,10.469269837287676,11.513787586031318,2.7032817954675106,3.393197251270742,0.020191273981313262,11.751056385072172,0.15243087402943664,0.14661655585390718,1.3995062307428197,-3.8203621410032653
fold-1,4600,9.773478260869565,3.3579639363376597,5.0,7.0,10.0,12.0,15.0,10.123196197107157,0.4325103308144262,9.476019357372438,9.814305730147618,10.093458775713565,10.399549684074659,10.859928924818412,11.209134234497842,2.6861659836563736,3.3480045153042792,0.005706874013623242,11.273470510396974,0.12866858068382883,0.12722519534566912,0.9989690948247705,-0.33928188088813016
